scenario_id,sector,shock_year,discount_rate,risk_free_rate,market_passthrough,carbon_price_family,carbon_price_model,grid_label
s2026_d0.06_rf0.02_mp0.15_cNGFS_Below2C,steel,2026,0.06,0.02,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.02 | pass 0.15 | NGFS_Below2C
s2026_d0.06_rf0.03_mp0.25_cNGFS_Below2C,steel,2026,0.06,0.03,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_Below2C
s2026_d0.06_rf0.03_mp0.25_cNGFS_Delayed,steel,2026,0.06,0.03,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_Delayed
s2026_d0.06_rf0.03_mp0.25_cNGFS_NetZero2050,steel,2026,0.06,0.03,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_NetZero2050
s2026_d0.06_rf0.03_mp0.35_cNGFS_Below2C,steel,2026,0.06,0.03,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_Below2C
s2026_d0.06_rf0.03_mp0.35_cNGFS_Delayed,steel,2026,0.06,0.03,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_Delayed
s2026_d0.06_rf0.03_mp0.35_cNGFS_NetZero2050,steel,2026,0.06,0.03,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_NetZero2050
s2026_d0.06_rf0.04_mp0.15_cNGFS_Below2C,steel,2026,0.06,0.04,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_Below2C
s2026_d0.06_rf0.04_mp0.15_cNGFS_Delayed,steel,2026,0.06,0.04,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_Delayed
s2026_d0.06_rf0.04_mp0.15_cNGFS_NetZero2050,steel,2026,0.06,0.04,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_NetZero2050
s2026_d0.06_rf0.04_mp0.25_cNGFS_Below2C,steel,2026,0.06,0.04,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_Below2C
s2026_d0.06_rf0.04_mp0.25_cNGFS_Delayed,steel,2026,0.06,0.04,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_Delayed
s2026_d0.06_rf0.04_mp0.25_cNGFS_NetZero2050,steel,2026,0.06,0.04,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_NetZero2050
s2026_d0.06_rf0.04_mp0.35_cNGFS_Below2C,steel,2026,0.06,0.04,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_Below2C
s2026_d0.06_rf0.04_mp0.35_cNGFS_Delayed,steel,2026,0.06,0.04,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_Delayed
s2026_d0.06_rf0.04_mp0.35_cNGFS_NetZero2050,steel,2026,0.06,0.04,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_NetZero2050
s2026_d0.08_rf0.02_mp0.15_cNGFS_Below2C,steel,2026,0.08,0.02,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_Below2C
s2026_d0.08_rf0.02_mp0.15_cNGFS_Delayed,steel,2026,0.08,0.02,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_Delayed
s2026_d0.08_rf0.02_mp0.15_cNGFS_NetZero2050,steel,2026,0.08,0.02,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_NetZero2050
s2026_d0.08_rf0.02_mp0.25_cNGFS_Below2C,steel,2026,0.08,0.02,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_Below2C
s2026_d0.08_rf0.02_mp0.25_cNGFS_Delayed,steel,2026,0.08,0.02,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_Delayed
s2026_d0.08_rf0.02_mp0.25_cNGFS_NetZero2050,steel,2026,0.08,0.02,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_NetZero2050
s2026_d0.08_rf0.02_mp0.35_cNGFS_Below2C,steel,2026,0.08,0.02,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_Below2C
s2026_d0.08_rf0.02_mp0.35_cNGFS_Delayed,steel,2026,0.08,0.02,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_Delayed
s2026_d0.08_rf0.02_mp0.35_cNGFS_NetZero2050,steel,2026,0.08,0.02,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_NetZero2050
s2026_d0.08_rf0.03_mp0.15_cNGFS_Below2C,steel,2026,0.08,0.03,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_Below2C
s2026_d0.08_rf0.03_mp0.15_cNGFS_Delayed,steel,2026,0.08,0.03,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_Delayed
s2026_d0.08_rf0.03_mp0.15_cNGFS_NetZero2050,steel,2026,0.08,0.03,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_NetZero2050
s2026_d0.08_rf0.03_mp0.25_cNGFS_Below2C,steel,2026,0.08,0.03,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.25 | NGFS_Below2C
s2026_d0.08_rf0.03_mp0.25_cNGFS_Delayed,steel,2026,0.08,0.03,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.25 | NGFS_Delayed
s2026_d0.08_rf0.03_mp0.25_cNGFS_NetZero2050,steel,2026,0.08,0.03,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.25 | NGFS_NetZero2050
s2026_d0.08_rf0.03_mp0.35_cNGFS_Below2C,steel,2026,0.08,0.03,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.35 | NGFS_Below2C
s2026_d0.08_rf0.03_mp0.35_cNGFS_Delayed,steel,2026,0.08,0.03,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.35 | NGFS_Delayed
s2026_d0.08_rf0.03_mp0.35_cNGFS_NetZero2050,steel,2026,0.08,0.03,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.03 | pass 0.35 | NGFS_NetZero2050
s2026_d0.08_rf0.04_mp0.15_cNGFS_Below2C,steel,2026,0.08,0.04,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.15 | NGFS_Below2C
s2026_d0.08_rf0.04_mp0.15_cNGFS_Delayed,steel,2026,0.08,0.04,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.15 | NGFS_Delayed
s2026_d0.08_rf0.04_mp0.15_cNGFS_NetZero2050,steel,2026,0.08,0.04,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.15 | NGFS_NetZero2050
s2026_d0.08_rf0.04_mp0.25_cNGFS_Below2C,steel,2026,0.08,0.04,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.25 | NGFS_Below2C
s2026_d0.08_rf0.04_mp0.25_cNGFS_Delayed,steel,2026,0.08,0.04,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.25 | NGFS_Delayed
s2026_d0.08_rf0.04_mp0.25_cNGFS_NetZero2050,steel,2026,0.08,0.04,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.25 | NGFS_NetZero2050
s2026_d0.08_rf0.04_mp0.35_cNGFS_Below2C,steel,2026,0.08,0.04,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.35 | NGFS_Below2C
s2026_d0.08_rf0.04_mp0.35_cNGFS_Delayed,steel,2026,0.08,0.04,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.35 | NGFS_Delayed
s2026_d0.08_rf0.04_mp0.35_cNGFS_NetZero2050,steel,2026,0.08,0.04,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.08 | rf 0.04 | pass 0.35 | NGFS_NetZero2050
s2026_d0.10_rf0.02_mp0.15_cNGFS_Below2C,steel,2026,0.1,0.02,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.15 | NGFS_Below2C
s2026_d0.10_rf0.02_mp0.15_cNGFS_Delayed,steel,2026,0.1,0.02,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.15 | NGFS_Delayed
s2026_d0.10_rf0.02_mp0.15_cNGFS_NetZero2050,steel,2026,0.1,0.02,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.15 | NGFS_NetZero2050
s2026_d0.10_rf0.02_mp0.25_cNGFS_Below2C,steel,2026,0.1,0.02,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.25 | NGFS_Below2C
s2026_d0.10_rf0.02_mp0.25_cNGFS_Delayed,steel,2026,0.1,0.02,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.25 | NGFS_Delayed
s2026_d0.10_rf0.02_mp0.25_cNGFS_NetZero2050,steel,2026,0.1,0.02,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.25 | NGFS_NetZero2050
s2026_d0.10_rf0.02_mp0.35_cNGFS_Below2C,steel,2026,0.1,0.02,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.35 | NGFS_Below2C
s2026_d0.10_rf0.02_mp0.35_cNGFS_Delayed,steel,2026,0.1,0.02,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.35 | NGFS_Delayed
s2026_d0.10_rf0.02_mp0.35_cNGFS_NetZero2050,steel,2026,0.1,0.02,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.02 | pass 0.35 | NGFS_NetZero2050
s2026_d0.10_rf0.03_mp0.15_cNGFS_Below2C,steel,2026,0.1,0.03,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.15 | NGFS_Below2C
s2026_d0.10_rf0.03_mp0.15_cNGFS_Delayed,steel,2026,0.1,0.03,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.15 | NGFS_Delayed
s2026_d0.10_rf0.03_mp0.15_cNGFS_NetZero2050,steel,2026,0.1,0.03,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.15 | NGFS_NetZero2050
s2026_d0.10_rf0.03_mp0.25_cNGFS_Below2C,steel,2026,0.1,0.03,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.25 | NGFS_Below2C
s2026_d0.10_rf0.03_mp0.25_cNGFS_Delayed,steel,2026,0.1,0.03,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.25 | NGFS_Delayed
s2026_d0.10_rf0.03_mp0.25_cNGFS_NetZero2050,steel,2026,0.1,0.03,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.25 | NGFS_NetZero2050
s2026_d0.10_rf0.03_mp0.35_cNGFS_Below2C,steel,2026,0.1,0.03,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.35 | NGFS_Below2C
s2026_d0.10_rf0.03_mp0.35_cNGFS_Delayed,steel,2026,0.1,0.03,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.35 | NGFS_Delayed
s2026_d0.10_rf0.03_mp0.35_cNGFS_NetZero2050,steel,2026,0.1,0.03,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.03 | pass 0.35 | NGFS_NetZero2050
s2026_d0.10_rf0.04_mp0.15_cNGFS_Below2C,steel,2026,0.1,0.04,0.15,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.15 | NGFS_Below2C
s2026_d0.10_rf0.04_mp0.15_cNGFS_Delayed,steel,2026,0.1,0.04,0.15,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.15 | NGFS_Delayed
s2026_d0.10_rf0.04_mp0.15_cNGFS_NetZero2050,steel,2026,0.1,0.04,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.15 | NGFS_NetZero2050
s2026_d0.10_rf0.04_mp0.25_cNGFS_Below2C,steel,2026,0.1,0.04,0.25,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.25 | NGFS_Below2C
s2026_d0.10_rf0.04_mp0.25_cNGFS_Delayed,steel,2026,0.1,0.04,0.25,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.25 | NGFS_Delayed
s2026_d0.10_rf0.04_mp0.25_cNGFS_NetZero2050,steel,2026,0.1,0.04,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.25 | NGFS_NetZero2050
s2026_d0.10_rf0.04_mp0.35_cNGFS_Below2C,steel,2026,0.1,0.04,0.35,NGFS_Below2C,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.35 | NGFS_Below2C
s2026_d0.10_rf0.04_mp0.35_cNGFS_Delayed,steel,2026,0.1,0.04,0.35,NGFS_Delayed,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.35 | NGFS_Delayed
s2026_d0.10_rf0.04_mp0.35_cNGFS_NetZero2050,steel,2026,0.1,0.04,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2026 | disc 0.10 | rf 0.04 | pass 0.35 | NGFS_NetZero2050
s2028_d0.06_rf0.02_mp0.15_cNGFS_Below2C,steel,2028,0.06,0.02,0.15,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.15 | NGFS_Below2C
s2028_d0.06_rf0.02_mp0.15_cNGFS_Delayed,steel,2028,0.06,0.02,0.15,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.15 | NGFS_Delayed
s2028_d0.06_rf0.02_mp0.15_cNGFS_NetZero2050,steel,2028,0.06,0.02,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.15 | NGFS_NetZero2050
s2028_d0.06_rf0.02_mp0.25_cNGFS_Below2C,steel,2028,0.06,0.02,0.25,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.25 | NGFS_Below2C
s2028_d0.06_rf0.02_mp0.25_cNGFS_Delayed,steel,2028,0.06,0.02,0.25,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.25 | NGFS_Delayed
s2028_d0.06_rf0.02_mp0.25_cNGFS_NetZero2050,steel,2028,0.06,0.02,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.25 | NGFS_NetZero2050
s2028_d0.06_rf0.02_mp0.35_cNGFS_Below2C,steel,2028,0.06,0.02,0.35,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.35 | NGFS_Below2C
s2028_d0.06_rf0.02_mp0.35_cNGFS_Delayed,steel,2028,0.06,0.02,0.35,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.35 | NGFS_Delayed
s2028_d0.06_rf0.02_mp0.35_cNGFS_NetZero2050,steel,2028,0.06,0.02,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.02 | pass 0.35 | NGFS_NetZero2050
s2028_d0.06_rf0.03_mp0.15_cNGFS_Below2C,steel,2028,0.06,0.03,0.15,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.15 | NGFS_Below2C
s2028_d0.06_rf0.03_mp0.15_cNGFS_Delayed,steel,2028,0.06,0.03,0.15,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.15 | NGFS_Delayed
s2028_d0.06_rf0.03_mp0.15_cNGFS_NetZero2050,steel,2028,0.06,0.03,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.15 | NGFS_NetZero2050
s2028_d0.06_rf0.03_mp0.25_cNGFS_Below2C,steel,2028,0.06,0.03,0.25,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_Below2C
s2028_d0.06_rf0.03_mp0.25_cNGFS_Delayed,steel,2028,0.06,0.03,0.25,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_Delayed
s2028_d0.06_rf0.03_mp0.25_cNGFS_NetZero2050,steel,2028,0.06,0.03,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.25 | NGFS_NetZero2050
s2028_d0.06_rf0.03_mp0.35_cNGFS_Below2C,steel,2028,0.06,0.03,0.35,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_Below2C
s2028_d0.06_rf0.03_mp0.35_cNGFS_Delayed,steel,2028,0.06,0.03,0.35,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_Delayed
s2028_d0.06_rf0.03_mp0.35_cNGFS_NetZero2050,steel,2028,0.06,0.03,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.03 | pass 0.35 | NGFS_NetZero2050
s2028_d0.06_rf0.04_mp0.15_cNGFS_Below2C,steel,2028,0.06,0.04,0.15,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_Below2C
s2028_d0.06_rf0.04_mp0.15_cNGFS_Delayed,steel,2028,0.06,0.04,0.15,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_Delayed
s2028_d0.06_rf0.04_mp0.15_cNGFS_NetZero2050,steel,2028,0.06,0.04,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.15 | NGFS_NetZero2050
s2028_d0.06_rf0.04_mp0.25_cNGFS_Below2C,steel,2028,0.06,0.04,0.25,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_Below2C
s2028_d0.06_rf0.04_mp0.25_cNGFS_Delayed,steel,2028,0.06,0.04,0.25,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_Delayed
s2028_d0.06_rf0.04_mp0.25_cNGFS_NetZero2050,steel,2028,0.06,0.04,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.25 | NGFS_NetZero2050
s2028_d0.06_rf0.04_mp0.35_cNGFS_Below2C,steel,2028,0.06,0.04,0.35,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_Below2C
s2028_d0.06_rf0.04_mp0.35_cNGFS_Delayed,steel,2028,0.06,0.04,0.35,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_Delayed
s2028_d0.06_rf0.04_mp0.35_cNGFS_NetZero2050,steel,2028,0.06,0.04,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.06 | rf 0.04 | pass 0.35 | NGFS_NetZero2050
s2028_d0.08_rf0.02_mp0.15_cNGFS_Below2C,steel,2028,0.08,0.02,0.15,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_Below2C
s2028_d0.08_rf0.02_mp0.15_cNGFS_Delayed,steel,2028,0.08,0.02,0.15,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_Delayed
s2028_d0.08_rf0.02_mp0.15_cNGFS_NetZero2050,steel,2028,0.08,0.02,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.15 | NGFS_NetZero2050
s2028_d0.08_rf0.02_mp0.25_cNGFS_Below2C,steel,2028,0.08,0.02,0.25,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_Below2C
s2028_d0.08_rf0.02_mp0.25_cNGFS_Delayed,steel,2028,0.08,0.02,0.25,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_Delayed
s2028_d0.08_rf0.02_mp0.25_cNGFS_NetZero2050,steel,2028,0.08,0.02,0.25,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.25 | NGFS_NetZero2050
s2028_d0.08_rf0.02_mp0.35_cNGFS_Below2C,steel,2028,0.08,0.02,0.35,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_Below2C
s2028_d0.08_rf0.02_mp0.35_cNGFS_Delayed,steel,2028,0.08,0.02,0.35,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_Delayed
s2028_d0.08_rf0.02_mp0.35_cNGFS_NetZero2050,steel,2028,0.08,0.02,0.35,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.02 | pass 0.35 | NGFS_NetZero2050
s2028_d0.08_rf0.03_mp0.15_cNGFS_Below2C,steel,2028,0.08,0.03,0.15,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_Below2C
s2028_d0.08_rf0.03_mp0.15_cNGFS_Delayed,steel,2028,0.08,0.03,0.15,NGFS_Delayed,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_Delayed
s2028_d0.08_rf0.03_mp0.15_cNGFS_NetZero2050,steel,2028,0.08,0.03,0.15,NGFS_NetZero2050,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.03 | pass 0.15 | NGFS_NetZero2050
s2028_d0.08_rf0.03_mp0.25_cNGFS_Below2C,steel,2028,0.08,0.03,0.25,NGFS_Below2C,steel_intensity_transition,shock 2028 | disc 0.08 | rf 0.03 | pass 0.25 | NGFS_Below2C
